time	magn	lat	long	altGPS	sat	fix	alt	vsi	pitch	roll
07:12:50.328612	1000	59.864631	30.342014	6.79	9	3	12.84	-0.01	0.00	-1.00
07:12:50.343919	1001	59.864631	30.342014	6.79	9	3	12.83	-0.01	0.00	-1.00
07:12:50.360326	1000	59.864631	30.342015	6.82	10	3	12.81	0.01	0.00	-1.00
07:12:50.361440	1002	59.864631	30.342015	6.82	10	3	12.81	0.01	0.00	-1.00
07:12:50.376727	999	59.864631	30.342015	6.82	10	3	12.78	0.01	0.00	-1.00
07:12:50.391711	1002	59.864631	30.342015	6.82	10	3	12.83	0.01	0.00	-1.00
07:12:50.392603	998	59.864631	30.342015	6.82	10	3	12.83	0.01	0.00	-1.00
07:12:50.408060	1000	59.864631	30.342015	6.82	10	3	12.89	0.01	0.00	-1.00
07:12:50.408726	997	59.864631	30.342015	6.82	10	3	12.89	0.01	0.00	-1.00
07:12:50.424451	1000	59.864631	30.342015	6.82	10	3	12.94	0.01	0.00	-1.00
07:12:50.439562	999	59.864631	30.342015	6.82	10	3	12.89	0.01	0.00	-1.00
07:12:50.440311	1001	59.864631	30.342015	6.82	10	3	12.89	0.01	0.00	-1.00
07:12:50.456014	998	59.864631	30.342015	6.82	10	3	12.90	0.01	0.00	-1.00
07:12:50.456838	1000	59.864631	30.342015	6.82	10	3	12.90	0.01	0.00	-1.00
07:12:50.472362	999	59.864631	30.342015	6.82	10	3	12.80	0.01	0.00	-1.00
07:12:50.487478	1000	59.864631	30.342015	6.82	10	3	12.69	0.01	0.00	-1.00
07:12:50.488119	1000	59.864631	30.342015	6.82	10	3	12.69	0.01	0.00	-1.00
07:12:50.503800	999	59.864631	30.342015	6.82	10	3	12.71	0.01	0.00	-1.00
07:12:50.504530	999	59.864631	30.342015	6.82	10	3	12.71	0.01	0.00	-1.00
07:12:50.520202	1000	59.864631	30.342015	6.82	10	3	12.67	0.01	0.00	-1.00
07:12:50.536596	998	59.864631	30.342015	6.82	10	3	12.63	0.00	0.00	-1.00
07:12:50.537325	999	59.864631	30.342015	6.82	10	3	12.63	0.00	0.00	-1.00
07:12:50.551709	999	59.864631	30.342015	6.82	10	3	12.64	0.00	0.00	-1.00
07:12:50.568061	1000	59.864631	30.342015	6.82	10	3	12.70	0.00	0.00	-1.00
07:12:50.568730	999	59.864631	30.342015	6.82	10	3	12.70	0.00	0.00	-1.00
07:12:50.584444	1000	59.864631	30.342015	6.82	10	3	12.63	0.01	0.00	-1.00
07:12:50.585050	1000	59.864631	30.342015	6.82	10	3	12.63	0.01	0.00	-1.00
07:12:50.599556	1000	59.864631	30.342015	6.82	10	3	12.60	0.01	0.00	-1.00
07:12:50.616083	1000	59.864631	30.342015	6.91	10	3	12.53	-0.00	0.00	-1.00
07:12:50.616962	1000	59.864631	30.342015	6.91	10	3	12.53	-0.00	0.00	-1.00
07:12:50.632367	999	59.864631	30.342015	6.91	10	3	12.46	-0.00	0.00	-1.00
07:12:50.633160	999	59.864631	30.342015	6.91	10	3	12.46	-0.00	0.00	-1.00
07:12:50.647472	999	59.864631	30.342015	6.91	10	3	12.53	-0.00	0.00	-1.00
07:12:50.663804	998	59.864631	30.342015	6.91	10	3	12.60	-0.00	0.00	-1.00
07:12:50.664516	1000	59.864631	30.342015	6.91	10	3	12.60	-0.00	0.00	-1.00
07:12:50.680191	998	59.864631	30.342015	6.91	10	3	12.62	-0.00	0.00	-1.00
07:12:50.680973	999	59.864631	30.342015	6.91	10	3	12.62	-0.00	0.00	-1.00
07:12:50.696596	996	59.864631	30.342015	6.91	10	3	12.59	-0.00	0.00	-1.00
07:12:50.711731	999	59.864631	30.342015	6.91	10	3	12.62	-0.00	0.00	-1.00
07:12:50.712590	996	59.864631	30.342015	6.91	10	3	12.62	-0.00	0.00	-1.00
07:12:50.728050	999	59.864631	30.342015	6.91	10	3	12.59	-0.00	0.00	-1.00
07:12:50.744443	995	59.864631	30.342015	6.91	10	3	12.59	-0.01	0.00	-1.00
07:12:50.745088	999	59.864631	30.342015	6.91	10	3	12.59	-0.01	0.00	-1.00
07:12:50.759566	995	59.864631	30.342015	6.91	10	3	12.51	-0.01	0.00	-1.00
07:12:50.760226	998	59.864631	30.342015	6.91	10	3	12.51	-0.01	0.00	-1.00
07:12:50.776018	996	59.864631	30.342015	6.91	10	3	12.43	-0.01	0.00	-1.00
07:12:50.792396	999	59.864631	30.342015	6.91	10	3	12.47	-0.01	0.00	-1.00
07:12:50.793225	995	59.864631	30.342015	6.91	10	3	12.47	-0.01	0.00	-1.00
07:12:50.807491	1000	59.864631	30.342015	6.91	10	3	12.66	-0.01	0.00	-1.00
07:12:50.808178	996	59.864631	30.342015	6.91	10	3	12.66	-0.01	0.00	-1.00
07:12:50.823818	999	59.864631	30.342015	6.91	10	3	12.64	-0.01	0.00	-1.00
07:12:50.840220	996	59.864631	30.342015	6.91	10	3	12.71	-0.01	0.00	-1.00
07:12:50.840985	999	59.864631	30.342015	6.91	10	3	12.71	-0.01	0.00	-1.00
07:12:50.856610	996	59.864631	30.342016	7.07	10	3	12.75	-0.03	0.00	-1.00
07:12:50.857350	999	59.864631	30.342016	7.07	10	3	12.75	-0.03	0.00	-1.00
07:12:50.871713	996	59.864631	30.342016	7.07	10	3	12.80	-0.03	0.00	-1.00
07:12:50.888061	999	59.864631	30.342016	7.07	10	3	12.80	-0.03	0.00	-1.00
07:12:50.888747	996	59.864631	30.342016	7.07	10	3	12.80	-0.03	0.00	-1.00
07:12:50.904443	1000	59.864631	30.342016	7.07	10	3	12.87	-0.03	0.00	-1.00
07:12:50.919543	997	59.864631	30.342016	7.07	10	3	12.79	-0.03	0.00	-1.00
07:12:50.920188	1000	59.864631	30.342016	7.07	10	3	12.79	-0.03	0.00	-1.00
07:12:50.936050	998	59.864631	30.342016	7.07	10	3	12.71	-0.03	0.00	-1.00
07:12:50.936933	1000	59.864631	30.342016	7.07	10	3	12.71	-0.03	0.00	-1.00
07:12:50.952363	1000	59.864631	30.342016	7.07	10	3	12.68	-0.03	0.00	-1.00
07:12:50.967455	1001	59.864631	30.342016	7.07	10	3	12.68	-0.03	0.00	-1.00
07:12:50.968100	1000	59.864631	30.342016	7.07	10	3	12.68	-0.03	0.00	-1.00
07:12:50.983825	1001	59.864631	30.342016	7.07	10	3	12.82	-0.03	0.00	-1.00
07:12:50.984571	1000	59.864631	30.342016	7.07	10	3	12.82	-0.03	0.00	-1.00
07:12:51.000196	1002	59.864631	30.342016	7.07	10	3	12.78	-0.03	0.00	-1.00
07:12:51.016609	1001	59.864631	30.342016	7.07	10	3	12.69	-0.03	0.00	-1.00
07:12:51.017457	1003	59.864631	30.342016	7.07	10	3	12.69	-0.03	0.00	-1.00
07:12:51.031732	1002	59.864631	30.342016	7.07	10	3	12.64	-0.02	0.00	-1.00
07:12:51.048051	1004	59.864631	30.342016	7.07	10	3	12.68	-0.02	0.00	-1.00
07:12:51.048711	1003	59.864631	30.342016	7.07	10	3	12.68	-0.02	0.00	-1.00
07:12:51.064447	1004	59.864631	30.342016	7.07	10	3	12.77	-0.02	0.00	-1.00
07:12:51.065069	1002	59.864631	30.342016	7.07	10	3	12.77	-0.02	0.00	-1.00
07:12:51.079553	1003	59.864631	30.342016	7.07	10	3	12.73	-0.02	0.00	-1.00
07:12:51.096171	1003	59.864631	30.342016	7.07	10	3	12.69	-0.02	0.00	-1.00
07:12:51.097469	1002	59.864631	30.342016	7.07	10	3	12.69	-0.02	0.00	-1.00
07:12:51.112520	1001	59.864631	30.342016	7.17	10	3	12.64	-0.02	0.00	-2.00
07:12:51.113628	1002	59.864631	30.342016	7.17	10	3	12.64	-0.02	0.00	-2.00
07:12:51.127576	1002	59.864631	30.342016	7.17	10	3	12.68	-0.02	0.00	-2.00
07:12:51.143929	1001	59.864631	30.342016	7.17	10	3	12.77	-0.02	0.00	-2.00
07:12:51.145501	1002	59.864631	30.342016	7.17	10	3	12.77	-0.02	0.00	-2.00
07:12:51.160345	1000	59.864631	30.342016	7.17	10	3	12.78	-0.02	0.00	-2.00
07:12:51.162317	1002	59.864631	30.342016	7.17	10	3	12.78	-0.02	0.00	-2.00
07:12:51.176746	1000	59.864631	30.342016	7.17	10	3	12.76	-0.02	0.00	-2.00
07:12:51.191750	1001	59.864631	30.342016	7.17	10	3	12.79	-0.02	0.00	-2.00
07:12:51.193183	1000	59.864631	30.342016	7.17	10	3	12.68	-0.01	0.00	-2.00
07:12:51.208060	1000	59.864631	30.342016	7.17	10	3	12.72	-0.01	0.00	-2.00
07:12:51.224492	1000	59.864631	30.342016	7.17	10	3	12.71	-0.01	0.00	-2.00
07:12:51.225727	1000	59.864631	30.342016	7.17	10	3	12.71	-0.01	0.00	-2.00
07:12:51.239565	998	59.864631	30.342016	7.17	10	3	12.71	-0.01	0.00	-2.00
07:12:51.240613	1000	59.864631	30.342016	7.17	10	3	12.71	-0.01	0.00	-2.00
07:12:51.256029	996	59.864631	30.342016	7.17	10	3	12.67	-0.01	0.00	-2.00
07:12:51.272375	1000	59.864631	30.342016	7.17	10	3	12.70	-0.01	0.00	-2.00
07:12:51.273643	996	59.864631	30.342016	7.17	10	3	12.70	-0.01	0.00	-2.00
07:12:51.287484	996	59.864631	30.342016	7.17	10	3	12.70	-0.01	0.00	-2.00
07:12:51.288774	994	59.864631	30.342016	7.17	10	3	12.70	-0.01	0.00	-2.00
07:12:51.303812	996	59.864631	30.342016	7.17	10	3	12.77	-0.01	0.00	-2.00
07:12:51.320191	993	59.864631	30.342016	7.17	10	3	12.75	-0.01	0.00	-2.00
07:12:51.321237	994	59.864631	30.342016	7.17	10	3	12.75	-0.01	0.00	-2.00
07:12:51.336597	992	59.864631	30.342016	7.17	10	3	12.71	-0.02	0.00	-2.00
07:12:51.351731	992	59.864631	30.342016	7.17	10	3	12.73	-0.02	0.00	-2.00
07:12:51.353113	990	59.864631	30.342016	7.17	10	3	12.73	-0.02	0.00	-2.00
07:12:51.368061	991	59.864631	30.342017	7.29	10	3	12.70	-0.01	0.00	-1.00
07:12:51.369417	987	59.864631	30.342017	7.29	10	3	12.70	-0.01	0.00	-1.00
07:12:51.384445	989	59.864631	30.342017	7.29	10	3	12.76	-0.01	0.00	-1.00
07:12:51.399564	986	59.864631	30.342017	7.29	10	3	12.79	-0.02	0.00	-1.00
07:12:51.400297	988	59.864631	30.342017	7.29	10	3	12.79	-0.02	0.00	-1.00
07:12:51.416007	985	59.864631	30.342017	7.29	10	3	12.76	-0.02	0.00	-1.00
07:12:51.417537	986	59.864631	30.342017	7.29	10	3	12.76	-0.02	0.00	-1.00
